site,plot_id,plot,genet_id,T1_spring,T2_fall,change,status,action,split_fuse,include
Outlet,OT2,OT_4,140,136.39,159.16,22.77,grew,grow,none,OK
Outlet,OT2,OT_4,142,58.59,71.24,12.65,grew,grow,none,OK
Outlet,OT2,OT_4,146,104.57,113.04,8.47,grew,grow,none,OK
Outlet,OT2,OT_4,147,74.12,102.94,28.82,grew,grow,none,OK
Outlet,OT2,OT_4,151,38.65,62.37,23.72,grew,grow,none,OK
Outlet,OT2,OT_4,152,33.82,40.42,6.6,grew,grow,none,OK
Outlet,OT2,OT_4,153,45.94,62.9,16.96,grew,grow,none,OK
Outlet,OT2,OT_4,154,31.17,43.04,11.87,grew,grow,none,OK
Outlet,OT2,OT_4,157,22.1,24.54,2.44,grew,grow,n/s,OK
Outlet,OT2,OT_4,161,35.07,63.39,28.32,grew,grow,none,OK
Outlet,OT2,OT_4,162,13.29,33.32,20.03,grew,grow,none,OK
Outlet,OT2,OT_4,163,40.49,49.23,8.74,grew,grow,none,OK
Outlet,OT2,OT_4,164,125.13,169.8,44.67,grew,grow,none,OK
Outlet,OT2,OT_4,165,181.73,191.5,9.77,grew,grow,none,OK
Outlet,OT2,OT_4,166,299.3,341.5,42.2,grew,grow,none,OK
Outlet,OT2,OT_4,167,146.98,182.29,35.31,grew,grow,none,OK
Outlet,OT2,OT_4,168,77.15,88.13,10.98,grew,grow,none,OK
Outlet,OT2,OT_4,170,58.28,61.94,3.66,grew,grow,none,OK
Outlet,OT2,OT_4,172,46.63,55.37,8.74,grew,grow,none,OK
Outlet,OT2,OT_4,173,26.22,32.01,5.79,grew,grow,none,OK
Outlet,OT2,OT_4,174,6.62,12.46,5.84,grew,grow,n/s,OK
Outlet,OT2,OT_4,175,6.85,7.25,0.4,grew,grow,n/s,OK
Outlet,OT2,OT_4,177,73.12,92.08,18.96,grew,grow,none,OK
Outlet,OT2,OT_4,181,192.55,211.97,19.42,grew,grow,none,OK
Outlet,OT2,OT_4,183,95.19,125.4,30.21,grew,grow,none,OK
Outlet,OT2,OT_4,185,109.96,119.74,9.78,grew,grow,none,OK
Outlet,OT2,OT_4,186,58,76.54,18.54,grew,grow,none,OK
Outlet,OT2,OT_4,187,62.54,97.21,34.67,grew,grow,none,OK
Outlet,OT2,OT_4,189,7.72,11.55,3.83,grew,grow,none,OK
Outlet,OT2,OT_4,191,101.13,111.08,9.95,grew,grow,none,OK
Outlet,OT2,OT_4,193,66.6,141.4,74.8,grew,grow,none,OK
Outlet,OT2,OT_4,194,113.41,126.25,12.84,grew,grow,none,OK
Outlet,OT2,OT_4,195,75.05,80.6,5.55,grew,grow,none,OK
Outlet,OT2,OT_4,196,30.01,37.01,7,grew,grow,none,OK
Outlet,OT2,OT_4,197,56.87,65.61,8.74,grew,grow,none,OK
Outlet,OT2,OT_4,199,100.05,112.27,12.22,grew,grow,none,OK
Outlet,OT2,OT_4,202,18.19,28.07,9.88,grew,grow,none,OK
Outlet,OT2,OT_4,204,15.15,21.46,6.31,grew,grow,none,OK
Outlet,OT2,OT_4,205,42.63,70.53,27.9,grew,grow,none,OK
Outlet,OT2,OT_4,206,109.55,123.63,14.08,grew,grow,none,OK
Outlet,OT2,OT_4,207,17.87,32.98,15.11,grew,grow,none,OK
Outlet,OT2,OT_4,209,43.73,48.28,4.55,grew,grow,none,OK
Outlet,OT2,OT_4,211,17.88,26.24,8.36,grew,grow,none,OK
Outlet,OT2,OT_4,212,21.49,29.89,8.4,grew,grow,none,OK
Outlet,OT2,OT_4,213,88.04,104.4,16.36,grew,grow,none,OK
Outlet,OT2,OT_4,214,23.2,35.56,12.36,grew,grow,none,OK
Outlet,OT2,OT_4,216,10.23,16.75,6.52,grew,grow,n/s,OK
Outlet,OT2,OT_4,0,154.79,128.33,-26.46,shrank,n/s,split,OK
Outlet,OT2,OT_4,0,154.79,12.3,-142.49,shrank,n/s,split,OK
Outlet,OT2,OT_4,169,365.72,272.91,-92.81,shrank,n/s,split,OK
Outlet,OT2,OT_4,169,365.72,27.91,-337.81,shrank,n/s,split,OK
Outlet,OT2,OT_4,188,11.05,54.45,43.4,grew,n/s,fuse,fuse
Outlet,OT2,OT_4,188,37.05,54.45,17.4,grew,n/s,fuse,fuse
Outlet,OT2,OT_4,215,3.57,18.03,14.46,grew,n/s,split,OK
Outlet,OT2,OT_4,215,3.57,6.68,3.11,grew,n/s,split,OK
Outlet,OT2,OT_4,215,3.57,1.93,-1.64,shrank,n/s,split,OK
Outlet,OT2,OT_4,2,83.64,87.06,3.42,grew,same,none,OK
Outlet,OT2,OT_4,37,97.24,98.97,1.73,grew,same,none,OK
Outlet,OT2,OT_4,44,40.24,40.27,0.03,grew,same,none,OK
Outlet,OT2,OT_4,49,120.36,121.31,0.95,grew,same,none,OK
Outlet,OT2,OT_4,70,63.9,66.88,2.98,grew,same,none,OK
Outlet,OT2,OT_4,76,90.46,94.56,4.1,grew,same,none,OK
Outlet,OT2,OT_4,90,85.83,87.82,1.99,grew,same,none,OK
Outlet,OT2,OT_4,97,145.01,145.87,0.86,grew,same,none,OK
Outlet,OT2,OT_4,134,174.25,167.86,-6.39,shrank,same,none,OK
Outlet,OT2,OT_4,143,23.43,24.16,0.73,grew,same,none,OK
Outlet,OT2,OT_4,144,57.46,54.8,-2.66,shrank,same,none,OK
Outlet,OT2,OT_4,148,71.57,68.52,-3.05,shrank,same,none,OK
Outlet,OT2,OT_4,149,96.56,99.07,2.51,grew,same,none,OK
Outlet,OT2,OT_4,150,10.44,10.47,0.03,grew,same,none,OK
Outlet,OT2,OT_4,159,125.13,128.27,3.14,grew,same,none,OK
Outlet,OT2,OT_4,171,76.94,79.7,2.76,grew,same,none,OK
Outlet,OT2,OT_4,190,58.64,58.59,-0.05,shrank,same,none,OK
Outlet,OT2,OT_4,201,60.58,61.4,0.82,grew,same,none,OK
Outlet,OT2,OT_4,208,50.53,51.95,1.42,grew,same,none,OK
Outlet,OT2,OT_4,210,82.1,82.65,0.55,grew,same,none,OK
Outlet,OT2,OT_4,5,36.1,33.15,-2.95,shrank,shrink,none,OK
Outlet,OT2,OT_4,10,60.19,53.51,-6.68,shrank,shrink,none,OK
Outlet,OT2,OT_4,23,19.25,13.61,-5.64,shrank,shrink,n/s,OK
Outlet,OT2,OT_4,26,46.93,34.44,-12.49,shrank,shrink,none,OK
Outlet,OT2,OT_4,43,44.97,41.02,-3.95,shrank,shrink,none,OK
Outlet,OT2,OT_4,58,143.48,83.07,-60.41,shrank,shrink,none,OK
Outlet,OT2,OT_4,59,63.54,52.21,-11.33,shrank,shrink,none,OK
Outlet,OT2,OT_4,63,236.45,25.17,-211.28,shrank,shrink,split,OK
Outlet,OT2,OT_4,63,236.45,56.55,-179.9,shrank,shrink,split,OK
Outlet,OT2,OT_4,80,100.39,90.43,-9.96,shrank,shrink,none,OK
Outlet,OT2,OT_4,85,185.75,59.86,-125.89,shrank,shrink,n/s,OK
