site,plot_id,plot,genet_id,size,timepoint,change,status
Outlet,OT2,OT_4,105,58.79,spring_2022,NA,NA
Outlet,OT2,OT_4,108,47.2,spring_2022,NA,NA
Outlet,OT2,OT_4,116,80.69,spring_2022,NA,NA
Outlet,OT2,OT_4,122,71.58,spring_2022,NA,NA
Outlet,OT2,OT_4,124,147.86,spring_2022,NA,NA
Outlet,OT2,OT_4,126,58.63,spring_2022,NA,NA
Outlet,OT2,OT_4,127,31.14,spring_2022,NA,NA
Outlet,OT2,OT_4,136,49.9,spring_2022,NA,NA
Outlet,OT2,OT_4,138,138.38,spring_2022,NA,NA
Outlet,OT2,OT_4,141,135.08,spring_2022,NA,NA
Outlet,OT2,OT_4,145,82.18,spring_2022,NA,NA
Outlet,OT2,OT_4,158,106.25,spring_2022,NA,NA
Outlet,OT2,OT_4,176,111.37,spring_2022,NA,NA
Outlet,OT2,OT_4,178,60.34,spring_2022,NA,NA
Outlet,OT2,OT_4,179,74.84,spring_2022,NA,NA
Outlet,OT2,OT_4,192,49.61,spring_2022,NA,NA
Outlet,OT2,OT_4,198,70.33,spring_2022,NA,NA
Outlet,OT2,OT_4,200,51.02,spring_2022,NA,NA
Outlet,OT2,OT_4,203,71.84,spring_2022,NA,NA
Outlet,OT3,OT_3,1,50.28,spring_2022,NA,NA
Outlet,OT3,OT_3,6,12.83,spring_2022,NA,NA
Outlet,OT3,OT_3,8,70.9,spring_2022,NA,NA
Outlet,OT3,OT_3,11,4.38,spring_2022,NA,NA
Outlet,OT3,OT_3,12,8.96,spring_2022,NA,NA
Outlet,OT3,OT_3,14,21.04,spring_2022,NA,NA
Outlet,OT3,OT_3,15,8.44,spring_2022,NA,NA
Outlet,OT3,OT_3,16,24.36,spring_2022,NA,NA
Outlet,OT3,OT_3,17,44.67,spring_2022,NA,NA
Outlet,OT3,OT_3,18,46.21,spring_2022,NA,NA
Outlet,OT3,OT_3,19,9,spring_2022,NA,NA
Outlet,OT3,OT_3,20,3.41,spring_2022,NA,NA
Outlet,OT3,OT_3,21,12.21,spring_2022,NA,NA
Outlet,OT3,OT_3,22,55.39,spring_2022,NA,NA
Outlet,OT3,OT_3,27,55.22,spring_2022,NA,NA
Outlet,OT3,OT_3,32,12.9,spring_2022,NA,NA
Outlet,OT3,OT_3,35,68.69,spring_2022,NA,NA
Outlet,OT3,OT_3,38,64.98,spring_2022,NA,NA
Outlet,OT3,OT_3,41,74.87,spring_2022,NA,NA
Outlet,OT3,OT_3,42,16.87,spring_2022,NA,NA
Outlet,OT3,OT_3,43,55.42,spring_2022,NA,NA
Outlet,OT3,OT_3,45,78.78,spring_2022,NA,NA
Outlet,OT3,OT_3,46,35.51,spring_2022,NA,NA
Outlet,OT3,OT_3,47,72.54,spring_2022,NA,NA
Outlet,OT3,OT_3,48,26.53,spring_2022,NA,NA
Outlet,OT3,OT_3,49,20.1,spring_2022,NA,NA
Outlet,OT3,OT_3,50,79.53,spring_2022,NA,NA
Outlet,OT3,OT_3,51,115.99,spring_2022,NA,NA
Outlet,OT3,OT_3,54,35.08,spring_2022,NA,NA
Outlet,OT3,OT_3,55,11.75,spring_2022,NA,NA
Outlet,OT3,OT_3,56,28.81,spring_2022,NA,NA
Outlet,OT3,OT_3,57,6.77,spring_2022,NA,NA
Outlet,OT3,OT_3,60,42.57,spring_2022,NA,NA
Outlet,OT3,OT_3,61,99.13,spring_2022,NA,NA
Outlet,OT3,OT_3,62,18.06,spring_2022,NA,NA
Outlet,OT3,OT_3,64,3.36,spring_2022,NA,NA
Outlet,OT3,OT_3,65,1.17,spring_2022,NA,NA
Outlet,OT3,OT_3,66,65.47,spring_2022,NA,NA
Outlet,OT3,OT_3,68,10.95,spring_2022,NA,NA
Outlet,OT3,OT_3,70,8.55,spring_2022,NA,NA
Outlet,OT3,OT_3,71,31,spring_2022,NA,NA
Outlet,OT3,OT_3,0,60.65,spring_2022,NA,NA
Outlet,OT3,OT_3,2,70.79,spring_2022,NA,NA
Outlet,OT3,OT_3,3,146.81,spring_2022,NA,NA
Outlet,OT3,OT_3,4,88.48,spring_2022,NA,NA
Outlet,OT3,OT_3,5,114.77,spring_2022,NA,NA
Outlet,OT3,OT_3,9,18.96,spring_2022,NA,NA
Outlet,OT3,OT_3,10,95.59,spring_2022,NA,NA
Outlet,OT3,OT_3,30,64.06,spring_2022,NA,NA
Outlet,OT3,OT_3,31,113.27,spring_2022,NA,NA
Outlet,OT3,OT_3,33,110.69,spring_2022,NA,NA
Outlet,OT3,OT_3,37,75.8,spring_2022,NA,NA
Outlet,OT3,OT_3,44,118.48,spring_2022,NA,NA
Outlet,OT3,OT_3,52,148.9,spring_2022,NA,NA
Outlet,OT3,OT_3,58,50.86,spring_2022,NA,NA
Outlet,OT3,OT_3,7,84.22,spring_2022,NA,NA
Outlet,OT3,OT_3,13,32.55,spring_2022,NA,NA
Outlet,OT3,OT_3,23,94.53,spring_2022,NA,NA
Outlet,OT3,OT_3,24,90.46,spring_2022,NA,NA
Outlet,OT3,OT_3,25,69.84,spring_2022,NA,NA
Outlet,OT3,OT_3,34,15.42,spring_2022,NA,NA
Outlet,OT3,OT_3,59,75.11,spring_2022,NA,NA
Outlet,OT3,OT_3,63,19.7,spring_2022,NA,NA
Outlet,OT3,OT_3,67,44.66,spring_2022,NA,NA
Outlet,OT3,OT_3,69,11.08,spring_2022,NA,NA
Inlet,IT1,IT_4,0,76.67,spring_2022,NA,NA
Inlet,IT1,IT_4,1,18.93,spring_2022,NA,NA
Inlet,IT1,IT_4,2,61.06,spring_2022,NA,NA
Inlet,IT1,IT_4,3,80.67,spring_2022,NA,NA
Inlet,IT1,IT_4,4,46.02,spring_2022,NA,NA
Inlet,IT1,IT_4,5,4.32,spring_2022,NA,NA
Inlet,IT1,IT_4,6,4.28,spring_2022,NA,NA
Inlet,IT1,IT_4,7,149.52,spring_2022,NA,NA
Inlet,IT2,IT_3,0,23.57,spring_2022,NA,NA
Inlet,IT2,IT_3,1,55.53,spring_2022,NA,NA
Inlet,IT2,IT_3,8,13.54,spring_2022,NA,NA
Inlet,IT2,IT_3,9,18.42,spring_2022,NA,NA
Inlet,IT2,IT_3,11,40.21,spring_2022,NA,NA
Inlet,IT2,IT_3,12,158.41,spring_2022,NA,NA
Inlet,IT2,IT_3,14,6.46,spring_2022,NA,NA
Inlet,IT2,IT_3,15,4.06,spring_2022,NA,NA
Inlet,IT2,IT_3,17,10.61,spring_2022,NA,NA
Inlet,IT2,IT_3,19,36.43,spring_2022,NA,NA
