site,plot_id,plot,season,scale,rugosity
Outlet,OT2,OT_4,Fall,10cm,1.534623772
Outlet,OT2,OT_4,Fall,10cm,1.465045441
Outlet,OT2,OT_4,Fall,10cm,1.499074212
Outlet,OT2,OT_4,Fall,10cm,1.430635946
Outlet,OT2,OT_4,Fall,10cm,1.491585341
Outlet,OT2,OT_4,Fall,10cm,1.586928794
Outlet,OT2,OT_4,Fall,10cm,1.54438165
Outlet,OT2,OT_4,Fall,10cm,1.485687837
Outlet,OT2,OT_4,Fall,10cm,1.509778838
Outlet,OT2,OT_4,Fall,10cm,1.488249776
Outlet,OT2,OT_4,Fall,10cm,1.484907573
Outlet,OT2,OT_4,Fall,10cm,1.345196391
Outlet,OT2,OT_4,Fall,10cm,1.428532773
Outlet,OT2,OT_4,Fall,10cm,1.317965032
Outlet,OT2,OT_4,Fall,10cm,1.302956525
Outlet,OT2,OT_4,Fall,10cm,1.389444041
Outlet,OT2,OT_4,Fall,10cm,1.287185409
Outlet,OT2,OT_4,Fall,10cm,1.395388702
Outlet,OT2,OT_4,Fall,10cm,1.395599939
Outlet,OT2,OT_4,Fall,10cm,1.591720974
Outlet,OT2,OT_4,Fall,10cm,1.706882698
Outlet,OT2,OT_4,Fall,10cm,1.497793089
Outlet,OT2,OT_4,Fall,10cm,1.602277449
Outlet,OT2,OT_4,Fall,10cm,1.488655578
Outlet,OT2,OT_4,Fall,10cm,1.49177561
Outlet,OT2,OT_4,Fall,10cm,1.420801366
Outlet,OT2,OT_4,Fall,10cm,1.677201191
Outlet,OT2,OT_4,Fall,10cm,1.629840718
Outlet,OT2,OT_4,Fall,10cm,1.641245999
Outlet,OT2,OT_4,Fall,10cm,1.610207905
Outlet,OT2,OT_4,Fall,10cm,1.720684595
Outlet,OT2,OT_4,Fall,10cm,1.652751067
Outlet,OT2,OT_4,Fall,10cm,1.784424014
Outlet,OT2,OT_4,Fall,10cm,1.814005932
Outlet,OT2,OT_4,Fall,10cm,2.073609854
Outlet,OT2,OT_4,Fall,10cm,2.132232815
Outlet,OT2,OT_4,Spring,10cm,1.531185033
Outlet,OT2,OT_4,Spring,10cm,1.57318235
Outlet,OT2,OT_4,Spring,10cm,1.489510684
Outlet,OT2,OT_4,Spring,10cm,1.464124128
Outlet,OT2,OT_4,Spring,10cm,1.429929967
Outlet,OT2,OT_4,Spring,10cm,1.517372715
Outlet,OT2,OT_4,Spring,10cm,1.486313466
Outlet,OT2,OT_4,Spring,10cm,1.451333557
Outlet,OT2,OT_4,Spring,10cm,1.397475117
Outlet,OT2,OT_4,Spring,10cm,1.385164043
Outlet,OT2,OT_4,Spring,10cm,1.366833975
Outlet,OT2,OT_4,Spring,10cm,1.397735861
Outlet,OT2,OT_4,Spring,10cm,1.424202572
Outlet,OT2,OT_4,Spring,10cm,1.416223596
Outlet,OT2,OT_4,Spring,10cm,1.574488206
Outlet,OT2,OT_4,Spring,10cm,1.689462996
Outlet,OT2,OT_4,Spring,10cm,1.582521352
Outlet,OT2,OT_4,Spring,10cm,1.762710053
Outlet,OT2,OT_4,Spring,10cm,1.749298353
Outlet,OT2,OT_4,Spring,10cm,1.491166935
Outlet,OT2,OT_4,Spring,10cm,1.544085211
Outlet,OT2,OT_4,Spring,10cm,1.679161249
Outlet,OT2,OT_4,Spring,10cm,1.558401652
Outlet,OT2,OT_4,Spring,10cm,1.435859526
Outlet,OT2,OT_4,Spring,10cm,1.690183261
Outlet,OT2,OT_4,Spring,10cm,1.711667228
Outlet,OT2,OT_4,Spring,10cm,1.611526314
Outlet,OT2,OT_4,Spring,10cm,1.499497491
Outlet,OT2,OT_4,Spring,10cm,1.352082483
Outlet,OT2,OT_4,Spring,10cm,1.458010582
Outlet,OT2,OT_4,Spring,10cm,1.486999385
Outlet,OT2,OT_4,Spring,10cm,1.571640506
Outlet,OT2,OT_4,Spring,10cm,1.470361271
Outlet,OT2,OT_4,Spring,10cm,1.50216045
Outlet,OT2,OT_4,Spring,10cm,1.424549894
Outlet,OT2,OT_4,Spring,10cm,1.423942341
Outlet,OT2,OT_4,Spring,10cm,1.511173486
Outlet,OT2,OT_4,Spring,10cm,1.384261353
Outlet,OT2,OT_4,Spring,10cm,1.463425306
Outlet,OT2,OT_4,Spring,10cm,1.461252129
Outlet,OT2,OT_4,Spring,10cm,1.495352746
Outlet,OT2,OT_4,Spring,10cm,1.507432488
Outlet,OT2,OT_4,Spring,10cm,1.534078545
Outlet,OT2,OT_4,Spring,10cm,1.54393333
Outlet,OT2,OT_4,Spring,10cm,1.734890721
Outlet,OT2,OT_4,Spring,10cm,1.601962604
Outlet,OT2,OT_4,Spring,10cm,1.501749104
Outlet,OT2,OT_4,Spring,10cm,1.563029812
Outlet,OT2,OT_4,Spring,10cm,1.549495875
Outlet,OT2,OT_4,Spring,10cm,1.539606502
Outlet,OT2,OT_4,Spring,10cm,1.541214935
Outlet,OT2,OT_4,Spring,10cm,1.454967566
Outlet,OT2,OT_4,Spring,10cm,1.466631507
Outlet,OT2,OT_4,Spring,10cm,1.500078695
Outlet,OT2,OT_4,Spring,10cm,1.484160111
Outlet,OT2,OT_4,Spring,10cm,1.460758689
Outlet,OT2,OT_4,Spring,10cm,1.434316584
Outlet,OT2,OT_4,Spring,10cm,1.463564445
Outlet,OT2,OT_4,Spring,10cm,1.427547519
Outlet,OT2,OT_4,Spring,10cm,1.45376453
Outlet,OT2,OT_4,Spring,10cm,1.408991359
Outlet,OT2,OT_4,Spring,10cm,1.448449143
Outlet,OT2,OT_4,Spring,10cm,1.424808822
Outlet,OT2,OT_4,Spring,10cm,1.403887077
Outlet,OT2,OT_4,Spring,10cm,1.451729718
Outlet,OT2,OT_4,Spring,10cm,1.490469525
Outlet,OT2,OT_4,Spring,10cm,1.511163125
Outlet,OT2,OT_4,Spring,10cm,1.395629517
Outlet,OT2,OT_4,Spring,10cm,1.460365737
Outlet,OT2,OT_4,Spring,10cm,1.491077175
Outlet,OT2,OT_4,Spring,10cm,1.502323151
Outlet,OT2,OT_4,Spring,10cm,1.486817122
Outlet,OT2,OT_4,Spring,10cm,1.444177288
Outlet,OT2,OT_4,Spring,10cm,1.428576471
Outlet,OT2,OT_4,Spring,10cm,1.252544405
Outlet,OT2,OT_4,Spring,10cm,1.331360201
Outlet,OT2,OT_4,Spring,10cm,1.265664438
Outlet,OT2,OT_4,Spring,10cm,1.306129382
Outlet,OT2,OT_4,Spring,10cm,1.279569133
Outlet,OT2,OT_4,Spring,10cm,1.286036787
Outlet,OT2,OT_4,Spring,10cm,1.430800177
Outlet,OT2,OT_4,Spring,10cm,1.377357937
Outlet,OT2,OT_4,Spring,10cm,1.392779704
Outlet,OT2,OT_4,Spring,10cm,1.515175945
Outlet,OT2,OT_4,Spring,10cm,1.48607751
Outlet,OT2,OT_4,Spring,10cm,1.491383159
Outlet,OT2,OT_4,Spring,10cm,1.513464038
Outlet,OT2,OT_4,Spring,10cm,1.521535363
Outlet,OT2,OT_4,Spring,10cm,1.624729496
Outlet,OT2,OT_4,Spring,10cm,1.418948398
Outlet,OT2,OT_4,Spring,10cm,1.40813839
Outlet,OT2,OT_4,Spring,10cm,1.371135569
Outlet,OT2,OT_4,Spring,10cm,1.669165916
Outlet,OT2,OT_4,Spring,10cm,1.873561318
