day_night,DateTime,lux,PAR,site
day,2023-07-15 17:00:00 UTC,3616.7,66.90895,Outlet
day,2023-07-15 17:10:00 UTC,3444.5,63.72325,Outlet
day,2023-07-15 17:20:00 UTC,5511.1,101.95535,Outlet
day,2023-07-15 17:30:00 UTC,1463.9,27.08215,Outlet
day,2023-07-15 17:40:00 UTC,1808.3,33.45355,Outlet
day,2023-07-15 17:50:00 UTC,1550,28.675,Outlet
night,2023-07-15 18:00:00 UTC,925.7,17.12545,Outlet
night,2023-07-15 18:10:00 UTC,882.6,16.3281,Outlet
night,2023-07-15 18:20:00 UTC,430.6,7.9661,Outlet
night,2023-07-15 18:30:00 UTC,204.5,3.78325,Outlet
night,2023-07-15 18:40:00 UTC,107.6,1.9906,Outlet
night,2023-07-15 18:50:00 UTC,10.8,0.1998,Outlet
night,2023-07-15 19:00:00 UTC,0,0,Outlet
night,2023-07-15 19:10:00 UTC,0,0,Outlet
night,2023-07-15 19:20:00 UTC,0,0,Outlet
night,2023-07-15 19:30:00 UTC,0,0,Outlet
night,2023-07-15 19:40:00 UTC,0,0,Outlet
night,2023-07-15 19:50:00 UTC,0,0,Outlet
night,2023-07-15 20:00:00 UTC,0,0,Outlet
night,2023-07-15 20:10:00 UTC,0,0,Outlet
night,2023-07-15 20:20:00 UTC,0,0,Outlet
night,2023-07-15 20:30:00 UTC,0,0,Outlet
night,2023-07-15 20:40:00 UTC,0,0,Outlet
night,2023-07-15 20:50:00 UTC,0,0,Outlet
night,2023-07-15 21:00:00 UTC,0,0,Outlet
night,2023-07-15 21:10:00 UTC,0,0,Outlet
night,2023-07-15 21:20:00 UTC,0,0,Outlet
night,2023-07-15 21:30:00 UTC,0,0,Outlet
night,2023-07-15 21:40:00 UTC,0,0,Outlet
night,2023-07-15 21:50:00 UTC,0,0,Outlet
night,2023-07-15 22:00:00 UTC,0,0,Outlet
night,2023-07-15 22:10:00 UTC,0,0,Outlet
night,2023-07-15 22:20:00 UTC,0,0,Outlet
night,2023-07-15 22:30:00 UTC,0,0,Outlet
night,2023-07-15 22:40:00 UTC,0,0,Outlet
night,2023-07-15 22:50:00 UTC,0,0,Outlet
night,2023-07-15 23:00:00 UTC,0,0,Outlet
night,2023-07-15 23:10:00 UTC,0,0,Outlet
night,2023-07-15 23:20:00 UTC,0,0,Outlet
night,2023-07-15 23:30:00 UTC,0,0,Outlet
night,2023-07-15 23:40:00 UTC,0,0,Outlet
night,2023-07-15 23:50:00 UTC,0,0,Outlet
night,2023-07-16 00:00:00 UTC,0,0,Outlet
night,2023-07-16 00:10:00 UTC,0,0,Outlet
night,2023-07-16 00:20:00 UTC,0,0,Outlet
night,2023-07-16 00:30:00 UTC,0,0,Outlet
night,2023-07-16 00:40:00 UTC,0,0,Outlet
night,2023-07-16 00:50:00 UTC,0,0,Outlet
