site,plot_id,plot,genet_id,bleach_cat
OT,OT2,OT_4,194,1
OT,OT2,OT_4,195,1
OT,OT2,OT_4,197,1
OT,OT2,OT_4,196,1
OT,OT2,OT_4,192,1
OT,OT2,OT_4,193,1
OT,OT2,OT_4,205,2
OT,OT2,OT_4,206,2
OT,OT2,OT_4,204,2
OT,OT2,OT_4,207,2
OT,OT2,OT_4,208,2
OT,OT2,OT_4,209,2
OT,OT2,OT_4,211,2
OT,OT2,OT_4,210,1
OT,OT2,OT_4,213,1
OT,OT2,OT_4,212,1
OT,OT2,OT_4,214,1
OT,OT2,OT_4,110,1
OT,OT2,OT_4,0,1
OT,OT2,OT_4,221,1
OT,OT2,OT_4,15,2
OT,OT2,OT_4,245,1
OT,OT2,OT_4,246,1
OT,OT2,OT_4,247,1
OT,OT2,OT_4,248,1
OT,OT2,OT_4,249,2
OT,OT2,OT_4,250,2
OT,OT2,OT_4,251,2
OT,OT2,OT_4,169,2
OT,OT2,OT_4,169,2
OT,OT2,OT_4,178,2
OT,OT3,OT_3,2,1
OT,OT3,OT_3,3,2
OT,OT3,OT_3,62,1
OT,OT3,OT_3,4,1
OT,OT3,OT_3,5,1
OT,OT3,OT_3,6,1
OT,OT3,OT_3,0,2
OT,OT3,OT_3,8,1
OT,OT3,OT_3,7,2
OT,OT3,OT_3,1,2
OT,OT3,OT_3,9,2
OT,OT3,OT_3,10,1
OT,OT3,OT_3,63,1
OT,OT3,OT_3,55,1
OT,OT3,OT_3,64,3
OT,OT3,OT_3,65,1
OT,OT3,OT_3,11,1
OT,OT3,OT_3,12,1
OT,OT3,OT_3,13,2
OT,OT3,OT_3,14,2
OT,OT3,OT_3,15,2
OT,OT3,OT_3,16,1
OT,OT3,OT_3,17,1
OT,OT3,OT_3,18,1
OT,OT3,OT_3,21,1
OT,OT3,OT_3,19,2
OT,OT3,OT_3,20,1
OT,OT3,OT_3,66,1
OT,OT3,OT_3,67,1
OT,OT3,OT_3,22,2
OT,OT3,OT_3,23,1
OT,OT3,OT_3,24,1
OT,OT3,OT_3,25,1
OT,OT3,OT_3,32,1
OT,OT3,OT_3,27,1
OT,OT3,OT_3,29,1
OT,OT3,OT_3,30,2
OT,OT3,OT_3,31,1
OT,OT3,OT_3,68,1
OT,OT3,OT_3,69,1
OT,OT3,OT_3,35,1
OT,OT3,OT_3,72,1
OT,OT3,OT_3,37,2
OT,OT3,OT_3,33,2
OT,OT3,OT_3,34,2
OT,OT3,OT_3,38,1
OT,OT3,OT_3,70,1
OT,OT3,OT_3,45,2
OT,OT3,OT_3,44,1
OT,OT3,OT_3,41,1
OT,OT3,OT_3,71,1
OT,OT3,OT_3,42,2
OT,OT3,OT_3,43,1
OT,OT3,OT_3,47,1
OT,OT3,OT_3,51,1
OT,OT3,OT_3,48,1
OT,OT3,OT_3,49,1
OT,OT3,OT_3,50,1
OT,OT3,OT_3,52,2
OT,OT3,OT_3,54,1
OT,OT3,OT_3,53,1
OT,OT3,OT_3,57,1
OT,OT3,OT_3,58,1
OT,OT3,OT_3,59,1
OT,OT3,OT_3,60,1
OT,OT3,OT_3,61,1
