date,site,month,year,season,MONTHID,TEMP_mean,TEMP_sd,TEMP_max,TEMP_min,day_range,MMM,hotspot,hotspot_above_1C,DHW_data
2022-04-28,HK,4,2022,spring,2,28.07995833,0.437198262,28.853,27.075,1.778,28.5874,-0.507441667,0,0
2022-04-28,HKS,4,2022,spring,2,28.23444444,0.380251146,28.953,27.272,1.681,28.5874,-0.352955556,0,0
2022-04-28,IT,4,2022,spring,2,27.93872222,0.64856659,28.754,25.513,3.241,28.5874,-0.648677778,0,0
2022-04-28,OT,4,2022,spring,2,29.26154167,0.861846926,30.963,27.272,3.691,28.5874,0.674141667,0,0
2022-04-29,HK,4,2022,spring,2,28.41390972,0.556439668,29.352,27.567,1.785,28.5874,-0.173490278,0,0
2022-04-29,HKS,4,2022,spring,2,28.58991667,0.630573038,29.853,27.567,2.286,28.5874,0.002516667,0,0
2022-04-29,IT,4,2022,spring,2,27.92052083,0.560402028,28.953,25.61,3.343,28.5874,-0.666879167,0,0
2022-04-29,OT,4,2022,spring,2,29.09507639,1.102520152,31.37,25.708,5.662,28.5874,0.507676389,0,0
2022-04-30,HK,4,2022,spring,2,28.57575,0.332538225,29.152,27.961,1.191,28.5874,-0.01165,0,0
2022-04-30,HKS,4,2022,spring,2,28.71025694,0.539626635,29.752,27.862,1.89,28.5874,0.122856944,0,0
2022-04-30,IT,4,2022,spring,2,27.89882639,0.439248028,28.555,26.781,1.774,28.5874,-0.688573611,0,0
2022-04-30,OT,4,2022,spring,2,28.85429167,0.623727671,30.054,26.488,3.566,28.5874,0.266891667,0,0
2022-05-01,HK,5,2022,spring,3,28.00810417,0.779268419,28.853,26.195,2.658,28.5874,-0.579295833,0,0
2022-05-01,HKS,5,2022,spring,3,27.8924375,1.115019193,29.252,25.222,4.03,28.5874,-0.6949625,0,0
2022-05-01,IT,5,2022,spring,3,27.73654167,0.636143086,28.655,26.292,2.363,28.5874,-0.850858333,0,0
2022-05-01,OT,5,2022,spring,3,28.41786111,0.880356123,29.752,25.513,4.239,28.5874,-0.169538889,0,0
2022-05-02,HK,5,2022,spring,3,26.16234028,0.250667561,26.781,25.513,1.268,28.5874,-2.425059722,0,0
2022-05-02,HKS,5,2022,spring,3,25.76418056,0.394795488,26.683,24.738,1.945,28.5874,-2.823219444,0,0
2022-05-02,IT,5,2022,spring,3,27.19952778,0.685186373,28.456,26.292,2.164,28.5874,-1.387872222,0,0
